Model no.	Disease area	Disease feature	Category	Type	Application/ aim	Biological or disease-specific endpoint	Assay Throughput/ Content	Relevance	Potential/Future developments	DOI	Author name	Year
463	PD	Energy metabolism	Human/patient primary or stem cells 	Non-differentiated human stem cells : embryonic	Disease therapy developm	Electrophysiological characterisation				http://dx.doi.org/10.1186/s12929-016-0251-6	Li	2016
464	PD	Exploratory/ no specific feature	Human/patient primary or stem cells 	Non-differentiated human stem cells : embryonic	Model/method validation	Multiple: cell characterisation/differentiation/maturation				http://dx.doi.org/10.1038/srep20270	Xia	2016
465	PD	Exploratory/ no specific feature	Human/patient primary or stem cells 	Non-differentiated human stem cells : iPSC	Model/method validation	Multiple: cell characterisation/differentiation/maturation				http://dx.doi.org/10.1038/srep20270	Xia	2016
466	PD	Dopaminergic neurodegeneration	Human/patient primary or stem cells 	Multipotent human stem cells: non-neuronal, non CNS	Model/method development - experim	Multiple: cell chacterisation/differentiation/maturation				http://dx.doi.org/10.3346/jkms.2016.31.2.171 	Chun	2016
467	Several NDD	na	Human/patient primary or stem cells 	Differentiated human cells: non-neuronal, non-CNS	Disease therapy developm	Multiple: cell characterisation/differentiation/maturation				http://dx.doi.org/10.1007/s12035-016-0006-0 	Tavakol	2016
468	PD	Energy metabolism	Human/patient primary or stem cells 	Non-differentiated human stem cells : iPSC	Disease therapy developm	Electrophysiological characterisation				http://dx.doi.org/10.1038/s41598-017-05633-1	Fedele	2017
469	PD	na	Human/patient primary or stem cells 	Multipotent human stem cells: non-neuronal, non CNS	Disease therapy developm	Multiple: cell characterisation/differentiation/maturation				http://dx.doi.org/10.1007/s13577-017-0160-3	Takaasi	2017
470	PD	na	Human/patient primary or stem cells 	Multipotent human stem cells: neuronal	Disease therapy developm	Multiple: cell chacterisation/differentiation/maturation				http://dx.doi.org/10.1111/ejn.13504	Alizadeh	2016
471	PD	na	Human/patient primary or stem cells 	Multipotent human stem cells: non-neuronal, non CNS	Model/method development - experim	Electrophysiological characterisation				http://dx.doi.org/10.1177/0963689717720291	Zhuo	2017
472	PD	Dopaminergic neurodegeneration	Human/patient primary or stem cells 	Differentiated human cells: non-neuronal, non-CNS	Disease therapy developm	Apoptosis/cell death				http://dx.doi.org/10.1016/j.jcyt.2016.08.008	Jiang	2016
473	PD	na	Human/patient primary or stem cells 	Non-differentiated human stem cells : embryonic	Model/method development - experim	Apoptosis/cell death				http://dx.doi.org/10.1016/j.celrep.2016.09.062	Vera	2016
474	PD	na	Human/patient primary or stem cells 	Non-differentiated human stem cells : iPSC	Model/method development - experim	Apoptosis/cell death				http://dx.doi.org/10.1016/j.celrep.2016.09.062	Vera	2016
475	Several NDD	Dopaminergic neurodegeneration	Human/patient primary or stem cells 	Non-differentiated human stem cells : iPSC	Disease mechanism (exp/theor)	Multiple: cell chacterisation/differentiation/maturation				http://dx.doi.org/10.1002/adhm.201500900	Burbulla	2016
476	PD	Energy metabolism	Human/patient primary or stem cells 	Non-differentiated human stem cells : iPSC	Disease mechanism (exp/theor)	Mitochondrial dysfunction				http://dx.doi.org/10.1089/scd.2018.0011 	Zasso	2018
476	PD	Protein aggregation	Human/patient primary or stem cells 	Non-differentiated human stem cells : iPSC	Disease mechanism (exp/theor)	Protein dysfunction: a-synuclein				http://dx.doi.org/10.1089/scd.2018.0011 	Zasso	2018
477	PD	Neuroinflammation	Human/patient primary or stem cells 	Co-culture model (multiple cells)	Disease mechanism (exp/theor)	Inflammation				http://dx.doi.org/10.1016/j.stem.2018.06.015	Sommer	2018
478	PD	Dopaminergic neurodegeneration	Human/patient primary or stem cells 	Non-differentiated human stem cells : iPSC	Disease therapy developm	Electrophysiological characterisation				http://dx.doi.org/10.1038/s41598-018-27653-1	Tan	2018
478	PD	na	Human/patient primary or stem cells 	Non-differentiated human stem cells : iPSC	Disease therapy developm	Multiple: cell characterisation/differentiation/maturation				http://dx.doi.org/10.1038/s41598-018-27653-1	Tan	2018
479	PD	Dopaminergic neurodegeneration	Human/patient primary or stem cells 	Differentiated human cells: neuronal	Disease therapy developm	Dopamine release and/or uptake in cells				http://dx.doi.org/10.1177/0963689717753188 	Di Santo	2018
480	PD	na	2D or 3D co-culture	Non-differentiated human stem cells : embryonic	Model/method development - experim	Multiple: cell characterisation/differentiation/maturation				http://dx.doi.org/10.1073/pnas.1309408110 	Lei	2013
481	PD	na	2D or 3D co-culture	Non-differentiated human stem cells : iPSC	Model/method development - experim	Multiple: cell characterisation/differentiation/maturation				http://dx.doi.org/10.1073/pnas.1309408110 	Lei	2013
482	PD	na	Human/patient primary or stem cells 	Non-differentiated human stem cells : iPSC	Disease mechanism (exp/theor)	Multiple: cell characterisation/differentiation/maturation				http://dx.doi.org/10.5966/sctm.2012-0133	Theka	2013
483	PD	Dopaminergic neurodegeneration	Human/patient primary or stem cells 	Non-differentiated human stem cells : iPSC	Disease therapy developm	Dopamine release and/or uptake in cells				http://dx.doi.org/10.1038/s41598-018-19291-4 	Paik	2018
484	PD	na	Human/patient primary or stem cells 	Non-differentiated human stem cells : iPSC	Disease mechanism (exp/theor)	Multiple: cell characterisation/differentiation/maturation				https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6043657/	Playne	2018
485	PD	na	Human/patient primary or stem cells 	Non-differentiated human stem cells : iPSC	Disease mechanism (exp/theor)	Multiple: cell characterisation/differentiation/maturation				http://dx.doi.org/10.1016/j.scr.2017.08.013 	Qing	2017
486	PD	na	Human/patient primary or stem cells 	Non-differentiated human stem cells : iPSC	Disease therapy developm	Multiple: cell characterisation/differentiation/maturation				http://dx.doi.org/10.1038/nprot.2017.078	Nolbrant	2017
487	PD	na	Human/patient primary or stem cells 	Non-differentiated human stem cells : embryonic	Disease therapy developm	Multiple: cell characterisation/differentiation/maturation				http://dx.doi.org/10.1038/nprot.2017.078	Nolbrant	2017
488	PD	Energy metabolism	Human-derived cell lines	Human-derived immortalised cell lines: neuronal	Neuroprotection/neurotoxicity	Mitochondrial dysfunction				http://dx.doi.org/10.14573/altex.2013.4.427	Schildknecht	2013
488	PD	Protein aggregation	Human-derived cell lines	Human-derived immortalised cell lines: neuronal	Neuroprotection/neurotoxicity	Protein dysfunction: a-synuclein				http://dx.doi.org/10.14573/altex.2013.4.427	Schildknecht	2013
489	PD	Exploratory/ no specific feature	Human-derived cell lines	Human-derived immortalised cell lines: neuronal	Disease therapy developm	Changed gene expression				http://dx.doi.org/10.1080/01616412.2017.1348681	Chen	2017
490	PD	Protein aggregation	2D or 3D co-culture	Co-culture model (multiple cells)	Disease mechanism (exp/theor)	Protein dysfunction: a-synuclein				http://dx.doi.org/10.1371/journal.pone.0168700	Domert	2016
491	Several NDD	Energy metabolism	Human-derived cell lines	Human-derived immortalised cell lines: neuronal	Neuroprotection/neurotoxicity	Oxidative/nitrosative stress				http://dx.doi.org/10.1007/s12035-017-0714-0 	Palomares	2018
492	Several NDD	Dopaminergic neurodegeneration	2D or 3D co-culture	Neurospheres/3D model	Neuroprotection/neurotoxicity	Apoptosis/cell death				http://dx.doi.org/10.1016/j.taap.2018.02.003 	Pamies	2018
492	Several NDD	Energy metabolism	2D or 3D co-culture	Neurospheres/3D model	Neuroprotection/neurotoxicity	Multiple biological endpoints				http://dx.doi.org/10.1016/j.taap.2018.02.003 	Pamies	2018
492	Several NDD	Exploratory/ no specific feature	2D or 3D co-culture	Neurospheres/3D model	Model/method validation	Multiple biological endpoints				http://dx.doi.org/10.1016/j.taap.2018.02.003 	Pamies	2018
493	PD	na	Human/patient primary or stem cells 	Non-differentiated human stem cells : iPSC	Model/method validation	Multiple: cell characterisation/differentiation/maturation				http://dx.doi.org/10.1371/journal.pone.0143852	Tsai	2015
494	PD	Dopaminergic neurodegeneration	Human/patient primary or stem cells 	Non-differentiated human stem cells : iPSC	Disease therapy developm	Multiple biological endpoints				http://dx.doi.org/10.1016/j.stemcr.2014.01.013 	Doi	2014
495	PD	na	Human/patient primary or stem cells 	Multipotent human stem cells: non-neuronal, non CNS	Disease therapy developm	Multiple: cell chacterisation/differentiation/maturation				http://dx.doi.org/10.5966/sctm.2013-0074 	Ganz	2014
496	PD	Dopaminergic neurodegeneration	Human-derived cell lines	Human-derived immortalised cell lines: neuronal	Disease mechanism (exp/theor)	DNA damage				http://dx.doi.org/10.1093/hmg/ddx114	Paiva	2017
496	PD	Energy metabolism	Human-derived cell lines	Human-derived immortalised cell lines: neuronal	Disease mechanism (exp/theor)	Oxidative/nitrosative stress				http://dx.doi.org/10.1093/hmg/ddx114	Paiva	2017
497	PD	Dopaminergic neurodegeneration	Human/patient primary or stem cells 	Non-differentiated human stem cells : iPSC	Disease mechanism (exp/theor)	Apoptosis/cell death				http://dx.doi.org/10.1016/j.bbrc.2016.12.188	Suzuki	2017
497	PD	Energy metabolism	Human/patient primary or stem cells 	Non-differentiated human stem cells : iPSC	Disease mechanism (exp/theor)	Oxidative/nitrosative stress				http://dx.doi.org/10.1016/j.bbrc.2016.12.188	Suzuki	2017
498	PD	Exploratory/ no specific feature	Human/patient primary or stem cells 	Differentiated human cells: non-neuronal, non-CNS	Drug developm/ testing	Multiple biological endpoints				http://dx.doi.org/10.1021/acs.jnatprod.6b00258	Vial	2016
499	PD	Energy metabolism	Human/patient primary or stem cells 	Non-differentiated human stem cells : iPSC	Disease mechanism (exp/theor)	Mitochondrial dysfunction				http://dx.doi.org/10.1038/s41467-018-03241-9 	Ryan	2018
499	PD	Protein aggregation	Human/patient primary or stem cells 	Non-differentiated human stem cells : iPSC	Disease mechanism (exp/theor)	Protein dysfunction: a-synuclein				http://dx.doi.org/10.1038/s41467-018-03241-9 	Ryan	2018
500	PD	Energy metabolism	Human/patient primary or stem cells 	Non-differentiated human stem cells : embryonic	Disease mechanism (exp/theor)	Mitochondrial dysfunction				http://dx.doi.org/10.1038/s41467-018-03241-9 	Ryan	2018
500	PD	Protein aggregation	Human/patient primary or stem cells 	Non-differentiated human stem cells : embryonic	Disease mechanism (exp/theor)	Protein dysfunction: a-synuclein				http://dx.doi.org/10.1038/s41467-018-03241-9 	Ryan	2018
501	PD	Dopaminergic neurodegeneration	Human/patient primary or stem cells 	Differentiated human cells: non-neuronal, non-CNS	Disease therapy developm	Dopamine release and/or uptake in cells				http://dx.doi.org/10.1002/term.2519	Gnanasegaran	2018
502	PD	Exploratory/ no specific feature	Human/patient primary or stem cells 	Non-differentiated human stem cells : iPSC	Disease therapy developm	Multiple biological endpoints				http://dx.doi.org/10.1016/j.cell.2013.11.009	Ryan	2013
503	PD	Exploratory/ no specific feature	Human/patient primary or stem cells 	Non-differentiated human stem cells : embryonic	Disease therapy developm	Multiple biological endpoints				http://dx.doi.org/10.1016/j.cell.2013.11.009	Ryan	2013
504	PD	Protein aggregation	Human-derived cell lines	Human-derived immortalised cell lines: neuronal	Disease mechanism (exp/theor)	Protein dysfunction: a-synuclein				http://dx.doi.org/10.1021/bi4002425	Guo	2013
505	PD	Exploratory/ no specific feature	Human/patient primary or stem cells 	Non-differentiated human stem cells : iPSC	Disease therapy developm	Multiple biological endpoints				http://dx.doi.org/10.1016/j.stemcr.2017.08.016	Lehnen	2017
506	PD	Exploratory/ no specific feature	Human/patient primary or stem cells 	Non-differentiated human stem cells : embryonic	Drug developm/ testing	Multiple biological endpoints				http://dx.doi.org/10.1016/j.stemcr.2017.08.016	Lehnen	2017
